"DATASET","SERIES_CODE","OBS_MEASURE","CURRENCY","COUNTRY","INDICATOR","FREQUENCY","SCALE","DECIMALS_DISPLAYED","INCOME_GROUP","DOI","FULL_DESCRIPTION","AUTHOR","PUBLISHER","DEPARTMENT","CONTACT_POINT","TOPIC","TOPIC_DATASET","KEYWORDS","KEYWORDS_DATASET","LANGUAGE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SOURCE","SHORT_SOURCE_CITATION","FULL_SOURCE_CITATION","LICENSE","SUGGESTED_CITATION","KEY_INDICATOR","SERIES_NAME","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06","2019-M07","2019-M08","2019-M09","2019-M10","2019-M11","2019-M12","2020-M01","2020-M02","2020-M03","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09","2025-M10"
"IMF.STA:WPCPER(6.0.0)","THB.THA.BIT_SHD_PT.M","OBS_VALUE","Thai baht","Thailand","Crypto-based Parallel Exchange Rate Premium (in %)","Monthly","","","Emerging Markets","","This dataset provides a cross-country indicator of parallel exchange rates based on crypto markets. Parallel exchange rates are measured as the price of bitcoin on the local market relative to the U.S. market. Parallel exchange rates are particularly relevant in countries with restrictions to external transactions. In these countries, agents are often willing to pay a premium to access foreign currency, reflected in a higher price of bitcoin in the local market compared to the U.S. market.

Suggested citation: Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund. 

For details, see Crypto as a Market Place for Capital Flight (IMF Working Paper)

CryptoShadowRateLC/ USD  = BTCLCU /  BTCUSD

Where BTCUSD and BTCLCU are the prices of Bitcoin, in international markets, quoted in US Dollar (USD); and in the local market, quoted in local currency units (LCU), respectively","Clemens Graf von Luckner, Robin Koepke, and Silvia Sgherri","International Monetary Fund (IMF)","Strategy, Policy, and Review Department (SPR)","rkoepke@imf.org","","Fintech; Exchange rates; Working papers datasets","","BITCOIN;  Crypto-assets","English","","","","","Public (Unrestricted)","","Public or Unrestricted","","IMF Staff Calculations","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund.","","","-0.7921813","-0.81086521","-0.80572709","0.6364427","0.91339137","6.436108","2.844747","-0.72994361","-1.5974514","1.0340002","-3.5217951","0.49961454","0.29899983","-0.43848172","-5.5074234","2.0758139","0.06304285","0.49610911","3.3723603","-0.04452987","0.55436651","2.5947778","0.76188601","5.3634144","6.0538094","13.654375","-0.05002664","3.5569527","0.32081187","0.07220791","2.7731007","-1.0918633","1.2770286","0.69379527","1.7232521","2.2089406","-0.00481346","1.2851236","0.72613078","1.113786","-1.3769053","-5.5373484","-0.08284366","0.20152692","0.14149007","0.24288359","0.06478195","0.50900751","2.7635166","0.85132286","0.54258982","-0.12747958","-0.38665966","1.9554377","-0.06699568","-0.80256639","0.03962651","2.5232222","-0.11109764","-0.02230317","1.3929715","4.4968358","-0.05869344","0.59341938","-0.06551577","0.03596172","0.01707984","0.25922985","-0.09741447","0.14177042","-0.42037421","0.15063545","0.02713807","0.39789448","-0.01448774","0.13373583","-0.07403497","0.06965712","-0.21579895","0.09870811","0.01384721","0.2549422"
"IMF.STA:WPCPER(6.0.0)","ARS.ARG.BIT_SHD_PT.M","OBS_VALUE","Argentine peso","Argentina","Crypto-based Parallel Exchange Rate Premium (in %)","Monthly","","","Emerging Markets","","This dataset provides a cross-country indicator of parallel exchange rates based on crypto markets. Parallel exchange rates are measured as the price of bitcoin on the local market relative to the U.S. market. Parallel exchange rates are particularly relevant in countries with restrictions to external transactions. In these countries, agents are often willing to pay a premium to access foreign currency, reflected in a higher price of bitcoin in the local market compared to the U.S. market.

Suggested citation: Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund. 

For details, see Crypto as a Market Place for Capital Flight (IMF Working Paper)

CryptoShadowRateLC/ USD  = BTCLCU /  BTCUSD

Where BTCUSD and BTCLCU are the prices of Bitcoin, in international markets, quoted in US Dollar (USD); and in the local market, quoted in local currency units (LCU), respectively","Clemens Graf von Luckner, Robin Koepke, and Silvia Sgherri","International Monetary Fund (IMF)","Strategy, Policy, and Review Department (SPR)","rkoepke@imf.org","","Fintech; Exchange rates; Working papers datasets","","BITCOIN;  Crypto-assets","English","","","","","Public (Unrestricted)","","Public or Unrestricted","","IMF Staff Calculations","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund.","","","12.360412","-2.062943","0.78013705","17.790973","14.727775","9.3899479","3.9736347","3.6710775","14.951928","17.746315","26.073806","18.260872","37.598877","36.327647","35.209071","62.119368","84.450468","73.717354","72.319503","74.496161","76.102211","115.94465","96.331463","88.73844","93.761084","78.109183","65.620304","67.393817","71.550633","73.667717","83.593662","80.886305","85.615472","86.64663","110.44711","104.02148","102.66575","97.597564","78.131447","71.444505","70.640623","68.128341","119.02527","108.0899","98.370521","93.570902","91.307361","85.837534","92.718913","88.037697","83.507834","92.189396","98.826185","96.4527","94.652855","108.35569","112.44466","166.979","158.56364","52.753601","42.896482","37.813196","21.945371","20.175724","27.425516","44.199082","49.522056","39.56647","29.936224","21.972099","14.121877","12.798799","16.312041","15.591598","20.409217","13.058453","2.7014009","2.1205744","2.0484628","1.3768309","3.420059","5.4927044"
"IMF.STA:WPCPER(6.0.0)","IDR.IDN.BIT_SHD_RT.M","OBS_VALUE","Indonesian rupiah","Indonesia","Crypto-based Parallel Exchange Rate (LCU/USD)","Monthly","","","Emerging Markets","","This dataset provides a cross-country indicator of parallel exchange rates based on crypto markets. Parallel exchange rates are measured as the price of bitcoin on the local market relative to the U.S. market. Parallel exchange rates are particularly relevant in countries with restrictions to external transactions. In these countries, agents are often willing to pay a premium to access foreign currency, reflected in a higher price of bitcoin in the local market compared to the U.S. market.

Suggested citation: Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund. 

For details, see Crypto as a Market Place for Capital Flight (IMF Working Paper)

CryptoShadowRateLC/ USD  = BTCLCU /  BTCUSD

Where BTCUSD and BTCLCU are the prices of Bitcoin, in international markets, quoted in US Dollar (USD); and in the local market, quoted in local currency units (LCU), respectively","Clemens Graf von Luckner, Robin Koepke, and Silvia Sgherri","International Monetary Fund (IMF)","Strategy, Policy, and Review Department (SPR)","rkoepke@imf.org","","Fintech; Exchange rates; Working papers datasets","","BITCOIN;  Crypto-assets","English","","","","","Public (Unrestricted)","","Public or Unrestricted","","IMF Staff Calculations","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund.","","","14272.206","14034.094","14229.676","14147.412","14832.337","15528.351","14630.01","14514.06","13868.394","14376.428","13588.335","14007.311","13718.08","13872.186","14493.259","15507.53","14947.203","14373.117","15131.343","14807.32","14926.896","14925.751","14392.431","14531.618","14255.18","14566.516","14525.796","14977.643","14412.901","14342.631","14740.34","14343.609","14214.029","14128.168","14471.286","14505.39","14103.463","14388.221","14377.601","14485.938","14484.136","13956.108","15059.487","14948.025","15162.31","15581.994","15702.199","15693.754","15535.074","15224.88","15381.651","14942.026","14900.929","15184.21","15078.963","15137.508","15385.715","16230.225","15612.884","15568.996","15851.702","16504.502","15728.729","16274.243","16100.566","16447.244","16312.742","15830.711","15342.581","15604.858","15838.283","16116.623","16311.822","16411.567","16540.59","16864.939","16455.887","16299.322","16232.083","16361.313","16561.546","16685.714"
"IMF.STA:WPCPER(6.0.0)","AUD.AUS.BIT_SHD_RT.M","OBS_VALUE","Australian dollar","Australia","Crypto-based Parallel Exchange Rate (LCU/USD)","Monthly","","","Advanced Economies","","This dataset provides a cross-country indicator of parallel exchange rates based on crypto markets. Parallel exchange rates are measured as the price of bitcoin on the local market relative to the U.S. market. Parallel exchange rates are particularly relevant in countries with restrictions to external transactions. In these countries, agents are often willing to pay a premium to access foreign currency, reflected in a higher price of bitcoin in the local market compared to the U.S. market.

Suggested citation: Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund. 

For details, see Crypto as a Market Place for Capital Flight (IMF Working Paper)

CryptoShadowRateLC/ USD  = BTCLCU /  BTCUSD

Where BTCUSD and BTCLCU are the prices of Bitcoin, in international markets, quoted in US Dollar (USD); and in the local market, quoted in local currency units (LCU), respectively","Clemens Graf von Luckner, Robin Koepke, and Silvia Sgherri","International Monetary Fund (IMF)","Strategy, Policy, and Review Department (SPR)","rkoepke@imf.org","","Fintech; Exchange rates; Working papers datasets","","BITCOIN;  Crypto-assets","English","","","","","Public (Unrestricted)","","Public or Unrestricted","","IMF Staff Calculations","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund.","","","1.3991","1.4061","1.4037","1.3944","1.4316","1.5009","1.4405","1.4846","1.4403","1.4823","1.4297","1.4575","1.4699","1.5004","1.4895","1.6199","1.5421","1.4569","1.4695","1.3967","1.3988","1.411","1.376","1.312","1.3067","1.2785","1.3035","1.2962","1.1366","1.3011","1.3617","1.3687","1.3533","1.3533","1.3722","1.3946","1.4748","1.3924","1.3588","1.3251","1.4105","1.4455","1.4517","1.398","1.4954","1.564","1.5097","1.4808","1.4573","1.458","1.3481","1.4935","1.4807","1.4932","1.4892","1.5316","1.5589","1.6056","1.5412","1.4991","1.5226","1.5964","1.5198","1.5416","1.5081","1.5056","1.4984","1.5059","1.4783","1.4908","1.5287","1.5817","1.6068","1.5893","1.5894","1.5902","1.5537","1.5395","1.5263","1.5391","1.5177","1.5303"
"IMF.STA:WPCPER(6.0.0)","CZK.CZE.BIT_SHD_PT.M","OBS_VALUE","Czech koruna","Czech Republic","Crypto-based Parallel Exchange Rate Premium (in %)","Monthly","","","Advanced Economies","","This dataset provides a cross-country indicator of parallel exchange rates based on crypto markets. Parallel exchange rates are measured as the price of bitcoin on the local market relative to the U.S. market. Parallel exchange rates are particularly relevant in countries with restrictions to external transactions. In these countries, agents are often willing to pay a premium to access foreign currency, reflected in a higher price of bitcoin in the local market compared to the U.S. market.

Suggested citation: Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund. 

For details, see Crypto as a Market Place for Capital Flight (IMF Working Paper)

CryptoShadowRateLC/ USD  = BTCLCU /  BTCUSD

Where BTCUSD and BTCLCU are the prices of Bitcoin, in international markets, quoted in US Dollar (USD); and in the local market, quoted in local currency units (LCU), respectively","Clemens Graf von Luckner, Robin Koepke, and Silvia Sgherri","International Monetary Fund (IMF)","Strategy, Policy, and Review Department (SPR)","rkoepke@imf.org","","Fintech; Exchange rates; Working papers datasets","","BITCOIN;  Crypto-assets","English","","","","","Public (Unrestricted)","","Public or Unrestricted","","IMF Staff Calculations","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund.","","","-0.07610486","0.45181786","-0.79063215","-1.1843487","1.5931085","9.3554791","2.7324203","2.8847398","-1.5574084","2.4384056","0.19478833","0.11857018","1.4161201","-0.16845863","11.847523","1.6433608","-0.67295774","0.16240614","0.62032271","-0.28523642","-0.33596751","0.86371114","-1.0026385","-0.49757225","-0.60338005","0.40677015","0.18861922","0.65194289","-3.5748907","-0.41453719","0.61673197","-1.842008","-2.421038","0.32321209","-0.13304567","-0.57104498","-0.97512484","0.5062645","-0.34230583","0.30097818","-0.5773751","-3.1059829","0.88545763","1.0683814","0.22479619","0.25614344","1.0873202","-0.00567165","2.8496315","0.62768313","-0.48953578","1.0032756","0.03910203","0.01097896","0.08432172","-0.87043069","0.06750537","1.8297817","-0.04763795","-0.51965979","1.647988","2.0783777","-0.31297021","0.16466494","0.02877698","0.31695033","0.07285194","0.07215638","0.06283742","0.10823164","-0.2558501","0.06380583","0.08147142","0.11502367","0.16034922","0.05021228","-0.19370372","-0.02417862","-0.1888153","0.06724727","0.11095499","0.09254001"
"IMF.STA:WPCPER(6.0.0)","JPY.JPN.BIT_SHD_PT.M","OBS_VALUE","Japanese yen","Japan","Crypto-based Parallel Exchange Rate Premium (in %)","Monthly","","","Advanced Economies","","This dataset provides a cross-country indicator of parallel exchange rates based on crypto markets. Parallel exchange rates are measured as the price of bitcoin on the local market relative to the U.S. market. Parallel exchange rates are particularly relevant in countries with restrictions to external transactions. In these countries, agents are often willing to pay a premium to access foreign currency, reflected in a higher price of bitcoin in the local market compared to the U.S. market.

Suggested citation: Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund. 

For details, see Crypto as a Market Place for Capital Flight (IMF Working Paper)

CryptoShadowRateLC/ USD  = BTCLCU /  BTCUSD

Where BTCUSD and BTCLCU are the prices of Bitcoin, in international markets, quoted in US Dollar (USD); and in the local market, quoted in local currency units (LCU), respectively","Clemens Graf von Luckner, Robin Koepke, and Silvia Sgherri","International Monetary Fund (IMF)","Strategy, Policy, and Review Department (SPR)","rkoepke@imf.org","","Fintech; Exchange rates; Working papers datasets","","BITCOIN;  Crypto-assets","English","","","","","Public (Unrestricted)","","Public or Unrestricted","","IMF Staff Calculations","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund.","","","-1.3843048","0.36149339","-1.6033308","0.47956455","1.3301376","3.2988145","2.2389032","3.0767016","0.14448904","3.4215567","-1.0334276","0.90147286","2.5629388","2.0014822","-5.8655326","-0.96979524","-0.18090851","0.40397936","3.4844335","1.1354045","0.2510157","2.6455394","1.1536344","3.9084098","3.0064776","0.86909402","0.16134436","1.0437598","-6.7936944","-0.20289558","2.2010401","0.37993112","-0.15360356","1.0270758","0.42247789","0.50556037","-1.3990818","0.3200243","1.0883516","-0.02154886","-1.524539","-2.6808784","0.11959071","-1.1896426","-0.19296532","-0.4021372","-0.96212015","-0.50612011","1.999779","1.0669293","-3.2529576","1.0262199","0.80783298","1.7889806","1.3550674","0.08330323","0.53109408","2.9726464","0.57021012","0.24555302","1.3270272","4.4362048","0.45854637","0.63975682","-0.11056802","0.35546578","-0.01198155","0.15844588","0.05543895","0.32373966","-0.22553228","1.1171177","0.3015815","0.04626038","0.16778951","0.09130526","0.14909998","0.08142477","-0.14271763","0.14189661","0.10262771","0.12032319"
"IMF.STA:WPCPER(6.0.0)","BOB.BOL.XDC_USD_RT.M","OBS_VALUE","Boliviano","Bolivia","Official FX Rate, LCU/USD","Monthly","","","Emerging Markets","","This dataset provides a cross-country indicator of parallel exchange rates based on crypto markets. Parallel exchange rates are measured as the price of bitcoin on the local market relative to the U.S. market. Parallel exchange rates are particularly relevant in countries with restrictions to external transactions. In these countries, agents are often willing to pay a premium to access foreign currency, reflected in a higher price of bitcoin in the local market compared to the U.S. market.

Suggested citation: Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund. 

For details, see Crypto as a Market Place for Capital Flight (IMF Working Paper)

CryptoShadowRateLC/ USD  = BTCLCU /  BTCUSD

Where BTCUSD and BTCLCU are the prices of Bitcoin, in international markets, quoted in US Dollar (USD); and in the local market, quoted in local currency units (LCU), respectively","Clemens Graf von Luckner, Robin Koepke, and Silvia Sgherri","International Monetary Fund (IMF)","Strategy, Policy, and Review Department (SPR)","rkoepke@imf.org","","Fintech; Exchange rates; Working papers datasets","","BITCOIN;  Crypto-assets","English","","","","","Public (Unrestricted)","","Public or Unrestricted","","IMF Staff Calculations","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund.","","","","","","","","","","","","","","","","6.914286","6.911848","6.897929","6.895486","6.902579","6.908523","6.913053","6.90198","6.899753","6.903912","6.906712","6.919072","6.892691","6.895203","6.915854","6.902853","6.895849","6.910332","6.904496","6.905222","6.903487","6.898232","6.892688","6.896579","6.885951","6.872822","6.889574","6.884873","6.88381","6.873176","6.877568","6.912724","6.913041","6.908121","6.907606","6.910305","6.909413","6.908869","6.90527","6.896144","6.907399","6.91085","6.91298","6.910477","6.924857","6.905966","6.912093","6.929519","6.89779","6.907225","6.932147","6.90922","6.919641","6.909962","6.903931","6.920052","6.903979","6.902605","6.897236","6.910762","6.91918","6.905732","6.913964","6.932619","6.905618","6.9108","6.9058952","6.9108319","6.9142604"
"IMF.STA:WPCPER(6.0.0)","NGN.NGA.XDC_USD_RT.M","OBS_VALUE","Nigerian naira","Nigeria","Official FX Rate, LCU/USD","Monthly","","","","","This dataset provides a cross-country indicator of parallel exchange rates based on crypto markets. Parallel exchange rates are measured as the price of bitcoin on the local market relative to the U.S. market. Parallel exchange rates are particularly relevant in countries with restrictions to external transactions. In these countries, agents are often willing to pay a premium to access foreign currency, reflected in a higher price of bitcoin in the local market compared to the U.S. market.

Suggested citation: Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund. 

For details, see Crypto as a Market Place for Capital Flight (IMF Working Paper)

CryptoShadowRateLC/ USD  = BTCLCU /  BTCUSD

Where BTCUSD and BTCLCU are the prices of Bitcoin, in international markets, quoted in US Dollar (USD); and in the local market, quoted in local currency units (LCU), respectively","Clemens Graf von Luckner, Robin Koepke, and Silvia Sgherri","International Monetary Fund (IMF)","Strategy, Policy, and Review Department (SPR)","rkoepke@imf.org","","Fintech; Exchange rates; Working papers datasets","","BITCOIN;  Crypto-assets","English","","","","","Public (Unrestricted)","","Public or Unrestricted","","IMF Staff Calculations","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund.","","","306.8455","306.7682","306.9238","306.9625","306.95","306.9471","306.937","306.9325","306.919","306.9636","306.9523","306.95","306.9591","306.955","326.625","361","361","361","377.1905","381","381","381","381","381","381","381","381","381","410","410.15","410.1","411","411","411.5","411.7386","414.3357","415.96","416.95","415.7217","415.5263","415.95","415.6143","417.2605","426.0609","435.5705","440.8468","445.5814","450.7075","460.9929","460.835","460.9735","460.9562","462.0095","610.7072","770.3166","762.1201","762.0186","796.9376","835.3965","899.0652","944.0836","1505.3028","1511.343","1237.0577","1436.0677","1482.2662","1560.2247","1587.3944","1618.2178","1641.1189","1670.7764","1553.7293","1535.9462","1500.4716","1525.8693","1581.7466","1598.4731","1552.5867","1530.3994","1532.106","1503.6304","1464.7811"
"IMF.STA:WPCPER(6.0.0)","NZD.NZL.XDC_USD_RT.M","OBS_VALUE","New Zealand dollar","New Zealand","Official FX Rate, LCU/USD","Monthly","","","Advanced Economies","","This dataset provides a cross-country indicator of parallel exchange rates based on crypto markets. Parallel exchange rates are measured as the price of bitcoin on the local market relative to the U.S. market. Parallel exchange rates are particularly relevant in countries with restrictions to external transactions. In these countries, agents are often willing to pay a premium to access foreign currency, reflected in a higher price of bitcoin in the local market compared to the U.S. market.

Suggested citation: Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund. 

For details, see Crypto as a Market Place for Capital Flight (IMF Working Paper)

CryptoShadowRateLC/ USD  = BTCLCU /  BTCUSD

Where BTCUSD and BTCLCU are the prices of Bitcoin, in international markets, quoted in US Dollar (USD); and in the local market, quoted in local currency units (LCU), respectively","Clemens Graf von Luckner, Robin Koepke, and Silvia Sgherri","International Monetary Fund (IMF)","Strategy, Policy, and Review Department (SPR)","rkoepke@imf.org","","Fintech; Exchange rates; Working papers datasets","","BITCOIN;  Crypto-assets","English","","","","","Public (Unrestricted)","","Public or Unrestricted","","IMF Staff Calculations","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund.","","","1.4758","1.4631","1.4637","1.4859","1.5237","1.5158","1.4961","1.5538","1.5768","1.5785","1.5627","1.5186","1.5135","1.5635","1.6534","1.6683","1.6434","1.5513","1.5184","1.5161","1.4988","1.5078","1.4588","1.4114","1.39","1.3805","1.3998","1.4035","1.3848","1.4059","1.432","1.4347","1.4168","1.4205","1.4233","1.4738","1.4828","1.4995","1.4579","1.4745","1.5615","1.5743","1.6129","1.5962","1.6801","1.7587","1.6532","1.5746","1.561","1.587","1.6119","1.6095","1.6085","1.6308","1.6072","1.6664","1.6878","1.692","1.6703","1.6088","1.62","1.6319","1.6423","1.677","1.6504","1.6281","1.6573","1.6447","1.6077","1.6404","1.6915","1.7364","1.7759","1.7606","1.7471","1.7144","1.685","1.6594","1.6671","1.6930892","1.7011586","1.7364973"
"IMF.STA:WPCPER(6.0.0)","CZK.CZE.XDC_USD_RT.M","OBS_VALUE","Czech koruna","Czech Republic","Official FX Rate, LCU/USD","Monthly","","","Advanced Economies","","This dataset provides a cross-country indicator of parallel exchange rates based on crypto markets. Parallel exchange rates are measured as the price of bitcoin on the local market relative to the U.S. market. Parallel exchange rates are particularly relevant in countries with restrictions to external transactions. In these countries, agents are often willing to pay a premium to access foreign currency, reflected in a higher price of bitcoin in the local market compared to the U.S. market.

Suggested citation: Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund. 

For details, see Crypto as a Market Place for Capital Flight (IMF Working Paper)

CryptoShadowRateLC/ USD  = BTCLCU /  BTCUSD

Where BTCUSD and BTCLCU are the prices of Bitcoin, in international markets, quoted in US Dollar (USD); and in the local market, quoted in local currency units (LCU), respectively","Clemens Graf von Luckner, Robin Koepke, and Silvia Sgherri","International Monetary Fund (IMF)","Strategy, Policy, and Review Department (SPR)","rkoepke@imf.org","","Fintech; Exchange rates; Working papers datasets","","BITCOIN;  Crypto-assets","English","","","","","Public (Unrestricted)","","Public or Unrestricted","","IMF Staff Calculations","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","Graf von Luckner, C., Koepke, R., & Sgherri, S. (2024). “Crypto as a Marketplace for Capital Flight.” IMF Working Paper No. 2024/133. International Monetary Fund.","","","22.469","22.664","22.716","22.848","23.043","22.668","22.782","23.191","23.507","23.257","23.102","22.94","22.717","22.973","24.043","25.101","25.009","23.706","23.117","22.122","22.651","23.098","22.361","21.625","21.479","21.388","22.002","21.643","21.044","21.132","21.695","21.634","21.561","21.967","22.248","22.345","21.628","21.55","22.699","22.593","23.399","23.4","24.157","24.261","24.778","24.986","23.912","22.921","22.252","22.129","22.123","21.37","21.738","21.86","21.584","22.104","22.813","23.276","22.671","22.457","22.664","23.374","23.261","23.563","22.935","23.032","23.335","22.867","22.598","23.191","23.803","23.979","24.303","24.082","23.137","22.3053","22.0956","21.5066","21.0788","21.023462","20.744083","20.882675"
