Country,Hashrate_Share_Percent
United States,37.84
China,21.11
Kazakhstan,13.22
Canada,6.48
Russia,4.66
Germany,3.06
Malaysia,2.51
Ireland,1.97
Thailand,0.96
Sweden,0.84
Norway,0.74
Australia,0.36
Indonesia,0.35
Brazil,0.33
Japan,0.23
United Kingdom,0.23
Georgia,0.23
France,0.21
Netherlands,0.21
Ukraine,0.15
Paraguay,0.15
Libya,0.14
Iran,0.12
Mexico,0.11
Italy,0.11
Romania,0.09
South Korea,0.07
Argentina,0.06
Uzbekistan,0.05
Greece,0.05
Vietnam,0.04
Turkey,0.04
Mongolia,0.04
India,0.03
Hungary,0.03
Switzerland,0.03
Poland,0.02
Finland,0.02
South Africa,0.01
Colombia,0.01
Saudi Arabia,0.01
Portugal,0.01
Belgium,0.01
United Arab Emirates,0.01
Austria,0.01
Bulgaria,0.01
Oman,0.01
Croatia,0.01
Uruguay,0.01
Armenia,0.01
