rewards-leaderboard-season-9
Rank;Trader;Estimated Rewards
1;dydx1l24wamfqekxkl2650xlhx95e026stpq3ns3xze;438180.7403836062
2;dydx14dltc2w6y3dhf0naz8luglsvjt0vhvswm2j6d0;137859.59012613242
3;dydx1d06lgyy03spureacp933g3qc3wwuszaxjurk5w;85929.51122909742
4;dydx1ycklg0q3cxvt2khh675mefxxx3x53mufuhakxe;79440.03407649588
5;dydx1g6vlujs2fw7c4886uc8g092474d54uhcf2swrg;58791.55226924923
6;dydx1e6e0d9cxe7cfttaph72evd9cal9wzp0k29whr3;52860.12299190081
7;dydx1phg8zun5lh7ldywnxzkpm32dx6uya2ps7ldzhu;40880.691548842755
8;dydx1zs7rw5gztsqq4648fqqe0l4pg580lm66m0qdpw;34217.517442549986
9;dydx1dax7t2529z8996579zuqdatv62wpsw89lv3apc;29535.333207215088
10;dydx1vh0w3zk8frkwpru40dk7h9c6tegfm9rcjj3ghk;25569.798326247786
11;dydx17udqjp3nveac2qwytd4u3q4j7kv9hnm8y0n7yh;24404.431945677192
12;dydx146keskm02u7hkqc6v6nvq3f8slavrytwpks6zz;21696.175947838583
13;dydx1rjswanm2hr2m5xlr7da8zsdv8nmldgvrg7x5eq;21457.61396480286
14;dydx1lhhmnthgd4shjkkxepzgjv3n9fpcjw7cjn2xgy;20940.134921303987
15;dydx15m3lvgfwe4xad7wqyskvn6qz5w5ahue60hhemn;20126.32556339838
16;dydx15u3dtsf4twdxttvy7850dkex7tcf3ps2y8wcuf;15740.106580807986
17;dydx1q869gyjwanxhw5xdgfg67pg3y8gjeuzth6u6zl;15205.938156743947
18;dydx1clczqvzdcvdhh4qn4vl4n5wwnnnyru8mq5egwm;12998.579839424723
19;dydx198ts77yue70nzss0n7qdxpwkfs5035fd2yam2e;12702.650314766728
20;dydx1ph7ek4yk82gdaw0r4yzluuchxwe96yrjdjq9wr;11986.86668440438
21;dydx1x7xnr38gpvmk30zk9ggqg6smky2060lj0dme94;11696.885713314123
22;dydx1h0xansqzvhs2th9m7cdn5r6e52tkwvxrxp9yuf;11151.825420347142
23;dydx14g8gtj52dgtpv5x4k03u7qlnmw2guyy6j3rwgf;10564.238124264602
24;dydx1p8e28y4msnlqrdsp352l35x7myevu54m60jznd;10559.41244680239
25;dydx13aeza8l3mrcr8d34g9z8tcunncl74gprf7t98g;10317.094724595558
26;dydx19z6vfsndsjsm9cadum24vft9tvp23cmfe8twj2;9844.193039962574
27;dydx17w5js8p9jaqfsuf9h4x9xe8kpfjvr8r3nz048w;9706.471871270694
28;dydx1ufs97x7psym2735x7sfksdrsux63wzjfzfvpwd;9655.971393802593
29;dydx10gtrjmf0qsutgrlsc32qwv6dq4v8xwqdcameyl;8977.66019909495
30;dydx18xpm93zcsmln3dnkzsyjz9at647xdxhs5r7gzn;7797.372669602687
31;dydx1cks57memrkcnc87taxddvmphlkm2ypja5u7g3x;7301.2059111909275
32;dydx1keelhggvqu9qley30qx9s8evu4f9jznxugh5pn;6680.210848055703
33;dydx1nr4swq0m7xd0duuccwfgl045x2zt6gmtp8dlnw;6395.544738474758
34;dydx1vql2d2wamaempkqqc3t7dkcyvs0e5fwg3duxel;6264.908854274771
35;dydx1rumqtdfwz58t0x07e5svl5fpmn29ajxxtldzw8;6111.966391105052
36;dydx1mfc3zzsuhven5lp9nnuzvkeafhyh4pc2c3tt86;5872.625417882968
37;dydx1j2r09zvh6glnjlpphsxzp0rux0pynedpf83kk3;5679.640513474825
38;dydx18cc9ykg9jhmhphqnzevt9hvx0924gkzgvhkg3f;5515.915705147707
39;dydx1dz34hsytpykyjjuhesqe4u7ju9upll8j7cj30d;5425.549488618924
40;dydx15uh9tkcht0nvx0n8rqnqd2ky05xkrnmd7un972;5269.862166437216
41;dydx1y8vy456kawy2gt2d8zxwqjn4ttdp76zmc023pp;4950.557744874785
42;dydx1s4fquxtzlvfumqfhvjlln23gzvxunasdcamuat;4905.714054975538
43;dydx1tr4k95ttntc4852pldhjaqwp5magt3m6j620tt;4857.796160143037
44;dydx1y7m4kmlgj5my4g5l2hk0rujy0n8y8hqws0fa2y;4853.000982417442
45;dydx179gwlz4fx20dntagmyzgu2uem5f95ej05qzpse;4803.70981549363
46;dydx1kakd9gnzws6sgazfew94yf4n0x2uhupsg7dn67;4524.592651820247
47;dydx1thp27n43j2fqtalvqmhm7hz870znr4hc8z6a85;4368.310510701206
48;dydx1j576f6kvqth00f9h3zxjqw95t0m763lkfszh8t;3984.52626017137
49;dydx1m9hg73dtn5ku8ulmj8rjmdqh0hk7uuhawc69cn;3976.4359102849467
50;dydx1qmx0way5kd9umj9vgsyeg4e2sh9m3s293mpgq9;3870.234521863605
51;dydx1wmzk6vuypses25k4ze5j736u7sq693m6nzppf5;3766.0127367171676
52;dydx19mgs2mc59g080fky3537gj3ks2vne4p6gsedka;3616.8411854270466
53;dydx19vs0ys95hauyu6yejdkt59rvungn9z8zj6l8kt;3337.859264412896
54;dydx1tn8k4dkf9zyqqxs5uyrcupuvzh6nz48qrh0ukk;3275.017433645742
55;dydx1r0jdema35fkl4k4q0808955n56rjeq92rhz7jh;3136.548987456584
56;dydx19rpqpy7hf3zs7z0c0urd7es0qk3rq8dlsplptl;3133.5231030936966
57;dydx1wy9w8e86jl8q2zk8hgq45dtryhfpzf0xfawx36;3068.006989865563
58;dydx1jfl3c74shcqpq7kvaa6ac7g3pmg2warlrfa2mk;2904.1070688531527
59;dydx1w2dqmyh3vp57nt8x72fscs8dqxydwh8evffl9t;2836.5981641923972
60;dydx1axl6r693qaekgy8vjlh6nettv7wtw3ksnpew9v;2657.7644523921663
61;dydx1kz6qqssntggy2rutf45nt0xksjsvyqzt9p33mk;2604.585136946873
62;dydx1va2a27e3jyk6nkz2h29j6z7da4qjst9qel0cfy;2570.107169259693
63;dydx10pqape76uwew0na3xrdxwnjam5qwzc04h79l0m;2536.671278993091
64;dydx1de4c2mlgkw6g8mfyq7pnkfaeje0h4rcdpfptap;2484.945327540042
